"global_step","DRAsset_30-15-26-50 - _step","DRAsset_30-15-26-50 - _step__MIN","DRAsset_30-15-26-50 - _step__MAX","DRAsset_30-15-26-50 - episode_lengths/step","DRAsset_30-15-26-50 - episode_lengths/step__MIN","DRAsset_30-15-26-50 - episode_lengths/step__MAX"
"4","3","3","3","49.640193939208984","49.640193939208984","49.640193939208984"
"819200","7","7","7","57.4327278137207","57.4327278137207","57.4327278137207"
"1638400","11","11","11","65.80400085449219","65.80400085449219","65.80400085449219"
"2457600","15","15","15","71.01786041259766","71.01786041259766","71.01786041259766"
"3276800","19","19","19","79.56571197509766","79.56571197509766","79.56571197509766"
"4096000","23","23","23","94.1500015258789","94.1500015258789","94.1500015258789"
"4915200","27","27","27","97.86861419677734","97.86861419677734","97.86861419677734"
"5734400","31","31","31","108.20689392089844","108.20689392089844","108.20689392089844"
"6553600","35","35","35","106.5384521484375","106.5384521484375","106.5384521484375"
"7372800","39","39","39","106.78616333007812","106.78616333007812","106.78616333007812"
"8192000","43","43","43","107.45945739746094","107.45945739746094","107.45945739746094"
"9011200","47","47","47","90.7453384399414","90.7453384399414","90.7453384399414"
"9830400","51","51","51","90.4733657836914","90.4733657836914","90.4733657836914"
"10649600","55","55","55","117.49689483642578","117.49689483642578","117.49689483642578"
"11468800","59","59","59","104.74481964111328","104.74481964111328","104.74481964111328"
"12288000","63","63","63","118.28984832763672","118.28984832763672","118.28984832763672"
"13107200","67","67","67","121.82925415039062","121.82925415039062","121.82925415039062"
"13926400","71","71","71","127.21551513671875","127.21551513671875","127.21551513671875"
"14745600","75","75","75","145.2936553955078","145.2936553955078","145.2936553955078"
"15564800","79","79","79","142.21905517578125","142.21905517578125","142.21905517578125"
"16384000","83","83","83","148.60345458984375","148.60345458984375","148.60345458984375"
"17203200","87","87","87","152.10577392578125","152.10577392578125","152.10577392578125"
"18022400","91","91","91","148.2568817138672","148.2568817138672","148.2568817138672"
"18841600","95","95","95","149.01754760742188","149.01754760742188","149.01754760742188"
"19660800","99","99","99","153.98117065429688","153.98117065429688","153.98117065429688"
"20480000","103","103","103","164.80918884277344","164.80918884277344","164.80918884277344"
"21299200","107","107","107","166.99029541015625","166.99029541015625","166.99029541015625"
"22118400","111","111","111","166.50706481933594","166.50706481933594","166.50706481933594"
"22937600","115","115","115","165.03636169433594","165.03636169433594","165.03636169433594"
"23756800","119","119","119","165.81552124023438","165.81552124023438","165.81552124023438"
"24576000","123","123","123","166.38925170898438","166.38925170898438","166.38925170898438"
"25395200","127","127","127","165.27984619140625","165.27984619140625","165.27984619140625"
"26214400","131","131","131","164.53553771972656","164.53553771972656","164.53553771972656"
"27033600","135","135","135","167.7924346923828","167.7924346923828","167.7924346923828"
"27852800","139","139","139","168.94276428222656","168.94276428222656","168.94276428222656"
"28672000","143","143","143","171.31817626953125","171.31817626953125","171.31817626953125"
"29491200","147","147","147","168.8461456298828","168.8461456298828","168.8461456298828"
"30310400","151","151","151","173.14013671875","173.14013671875","173.14013671875"
"31129600","155","155","155","171.0329132080078","171.0329132080078","171.0329132080078"
"31948800","159","159","159","172.2074737548828","172.2074737548828","172.2074737548828"
"32768000","163","163","163","174.9711456298828","174.9711456298828","174.9711456298828"
"33587200","167","167","167","174.97789001464844","174.97789001464844","174.97789001464844"
"34406400","171","171","171","174.49549865722656","174.49549865722656","174.49549865722656"
"35225600","175","175","175","174.4860076904297","174.4860076904297","174.4860076904297"
"36044800","179","179","179","173.61984252929688","173.61984252929688","173.61984252929688"
"36864000","183","183","183","173.1695098876953","173.1695098876953","173.1695098876953"
"37683200","187","187","187","172.62905883789062","172.62905883789062","172.62905883789062"
"38502400","191","191","191","173.22523498535156","173.22523498535156","173.22523498535156"
"39321600","195","195","195","173.11656188964844","173.11656188964844","173.11656188964844"
"40140800","199","199","199","172.95614624023438","172.95614624023438","172.95614624023438"
"40960000","203","203","203","173.06898498535156","173.06898498535156","173.06898498535156"
"41779200","207","207","207","173.09999084472656","173.09999084472656","173.09999084472656"
"42598400","211","211","211","174.0741424560547","174.0741424560547","174.0741424560547"
"43417600","215","215","215","174.38526916503906","174.38526916503906","174.38526916503906"
"44236800","219","219","219","174.81906127929688","174.81906127929688","174.81906127929688"
"45056000","223","223","223","174.64857482910156","174.64857482910156","174.64857482910156"
"45875200","227","227","227","175","175","175"
"46694400","231","231","231","174.80450439453125","174.80450439453125","174.80450439453125"
"47513600","235","235","235","174.8148193359375","174.8148193359375","174.8148193359375"
"48332800","239","239","239","175","175","175"
"49152000","243","243","243","174.6799774169922","174.6799774169922","174.6799774169922"
"49971200","247","247","247","174.8504638671875","174.8504638671875","174.8504638671875"
