"global_step","DRRandom_04-01-36-40 - _step","DRRandom_04-01-36-40 - _step__MIN","DRRandom_04-01-36-40 - _step__MAX","DRRandom_04-01-36-40 - rewards/waypoint/step","DRRandom_04-01-36-40 - rewards/waypoint/step__MIN","DRRandom_04-01-36-40 - rewards/waypoint/step__MAX"
"192","3","3","3","0.000020074501662747934","0.000020074501662747934","0.000020074501662747934"
"524288","7","7","7","0.04151899740099907","0.04151899740099907","0.04151899740099907"
"1048576","11","11","11","0.017369695007801056","0.017369695007801056","0.017369695007801056"
"1572864","15","15","15","0.05581508204340935","0.05581508204340935","0.05581508204340935"
"2097152","19","19","19","0.030586840584874153","0.030586840584874153","0.030586840584874153"
"2621440","23","23","23","0.020466629415750504","0.020466629415750504","0.020466629415750504"
"3145728","27","27","27","0.028525250032544136","0.028525250032544136","0.028525250032544136"
"3670016","31","31","31","0.11075156182050705","0.11075156182050705","0.11075156182050705"
"4194304","35","35","35","0.06375456601381302","0.06375456601381302","0.06375456601381302"
"4718592","39","39","39","0.056293785572052","0.056293785572052","0.056293785572052"
"5242880","43","43","43","0.22916142642498016","0.22916142642498016","0.22916142642498016"
"5767168","47","47","47","0.07403821498155594","0.07403821498155594","0.07403821498155594"
"6291456","51","51","51","0.11978266388177872","0.11978266388177872","0.11978266388177872"
"6815744","55","55","55","0.29194968938827515","0.29194968938827515","0.29194968938827515"
"7340032","59","59","59","0.34601348638534546","0.34601348638534546","0.34601348638534546"
"7864320","63","63","63","0.2053854912519455","0.2053854912519455","0.2053854912519455"
"8388608","67","67","67","0.11213859170675278","0.11213859170675278","0.11213859170675278"
"8912896","71","71","71","0.20787642896175385","0.20787642896175385","0.20787642896175385"
"9437184","75","75","75","0.27746346592903137","0.27746346592903137","0.27746346592903137"
"9961472","79","79","79","0.4028087556362152","0.4028087556362152","0.4028087556362152"
"10485760","83","83","83","0.5009605884552002","0.5009605884552002","0.5009605884552002"
"11010048","87","87","87","0.7111261487007141","0.7111261487007141","0.7111261487007141"
"11534336","91","91","91","0.7728759050369263","0.7728759050369263","0.7728759050369263"
"12058624","95","95","95","0.5505883693695068","0.5505883693695068","0.5505883693695068"
"12582912","99","99","99","1.2002968788146973","1.2002968788146973","1.2002968788146973"
"13107200","103","103","103","1.274168848991394","1.274168848991394","1.274168848991394"
"13631488","107","107","107","0.8675371408462524","0.8675371408462524","0.8675371408462524"
"14155776","111","111","111","1.1318488121032715","1.1318488121032715","1.1318488121032715"
"14680064","115","115","115","1.658548355102539","1.658548355102539","1.658548355102539"
"15204352","119","119","119","1.7196110486984253","1.7196110486984253","1.7196110486984253"
"15728640","123","123","123","1.1203384399414062","1.1203384399414062","1.1203384399414062"
"16252928","127","127","127","1.3332819938659668","1.3332819938659668","1.3332819938659668"
"16777216","131","131","131","1.8125602006912231","1.8125602006912231","1.8125602006912231"
"17301504","135","135","135","1.8539724349975586","1.8539724349975586","1.8539724349975586"
"17825792","139","139","139","1.7135878801345825","1.7135878801345825","1.7135878801345825"
"18350080","143","143","143","2.1732962131500244","2.1732962131500244","2.1732962131500244"
"18874368","147","147","147","1.8202016353607178","1.8202016353607178","1.8202016353607178"
"19398656","151","151","151","1.9218409061431885","1.9218409061431885","1.9218409061431885"
"19922944","155","155","155","2.783173084259033","2.783173084259033","2.783173084259033"
"20447232","159","159","159","2.4767215251922607","2.4767215251922607","2.4767215251922607"
"20971520","163","163","163","2.832312822341919","2.832312822341919","2.832312822341919"
"21495808","167","167","167","2.360682725906372","2.360682725906372","2.360682725906372"
"22020096","171","171","171","2.515406370162964","2.515406370162964","2.515406370162964"
"22544384","175","175","175","2.543410539627075","2.543410539627075","2.543410539627075"
"23068672","179","179","179","3.039020299911499","3.039020299911499","3.039020299911499"
"23592960","183","183","183","2.715291738510132","2.715291738510132","2.715291738510132"
"24117248","187","187","187","3.1372838020324707","3.1372838020324707","3.1372838020324707"
"24641536","191","191","191","2.8706936836242676","2.8706936836242676","2.8706936836242676"
"25165824","195","195","195","3.0207629203796387","3.0207629203796387","3.0207629203796387"
"25690112","199","199","199","3.1002185344696045","3.1002185344696045","3.1002185344696045"
"26214400","203","203","203","3.4044814109802246","3.4044814109802246","3.4044814109802246"
"26738688","207","207","207","3.188774347305298","3.188774347305298","3.188774347305298"
"27262976","211","211","211","3.259302854537964","3.259302854537964","3.259302854537964"
"27787264","215","215","215","3.5534183979034424","3.5534183979034424","3.5534183979034424"
"28311552","219","219","219","4.092195510864258","4.092195510864258","4.092195510864258"
"28835840","223","223","223","3.784086227416992","3.784086227416992","3.784086227416992"
"29360128","227","227","227","3.743518590927124","3.743518590927124","3.743518590927124"
"29884416","231","231","231","3.6304714679718018","3.6304714679718018","3.6304714679718018"
"30408704","235","235","235","3.6174824237823486","3.6174824237823486","3.6174824237823486"
"30932992","239","239","239","3.529888153076172","3.529888153076172","3.529888153076172"
"31457280","243","243","243","3.888462543487549","3.888462543487549","3.888462543487549"
"31981568","247","247","247","3.9070863723754883","3.9070863723754883","3.9070863723754883"
"32505856","251","251","251","3.813788890838623","3.813788890838623","3.813788890838623"
"33030144","255","255","255","3.758875846862793","3.758875846862793","3.758875846862793"
"33554432","259","259","259","4.3201141357421875","4.3201141357421875","4.3201141357421875"
"34078720","263","263","263","3.944310426712036","3.944310426712036","3.944310426712036"
"34603008","267","267","267","3.859052896499634","3.859052896499634","3.859052896499634"
"35127296","271","271","271","4.05268669128418","4.05268669128418","4.05268669128418"
"35651584","275","275","275","4.086887836456299","4.086887836456299","4.086887836456299"
"36175872","279","279","279","4.604081153869629","4.604081153869629","4.604081153869629"
"36700160","283","283","283","4.606419086456299","4.606419086456299","4.606419086456299"
"37224448","287","287","287","4.476820468902588","4.476820468902588","4.476820468902588"
"37748736","291","291","291","4.413410663604736","4.413410663604736","4.413410663604736"
"38273024","295","295","295","4.761545181274414","4.761545181274414","4.761545181274414"
"38797312","299","299","299","4.366486072540283","4.366486072540283","4.366486072540283"
"39321600","303","303","303","4.291324138641357","4.291324138641357","4.291324138641357"
"39845888","307","307","307","4.394618988037109","4.394618988037109","4.394618988037109"
"40370176","311","311","311","4.76474142074585","4.76474142074585","4.76474142074585"
"40894464","315","315","315","4.549729347229004","4.549729347229004","4.549729347229004"
"41418752","319","319","319","5.158535480499268","5.158535480499268","5.158535480499268"
"41943040","323","323","323","4.71996545791626","4.71996545791626","4.71996545791626"
"42467328","327","327","327","4.8355393409729","4.8355393409729","4.8355393409729"
"42991616","331","331","331","4.82131290435791","4.82131290435791","4.82131290435791"
"43515904","335","335","335","4.9088454246521","4.9088454246521","4.9088454246521"
"44040192","339","339","339","5.134097099304199","5.134097099304199","5.134097099304199"
"44564480","343","343","343","5.194981098175049","5.194981098175049","5.194981098175049"
"45088768","347","347","347","5.368504047393799","5.368504047393799","5.368504047393799"
"45613056","351","351","351","5.094362735748291","5.094362735748291","5.094362735748291"
"46137344","355","355","355","4.886815071105957","4.886815071105957","4.886815071105957"
"46661632","359","359","359","4.842927932739258","4.842927932739258","4.842927932739258"
"47185920","363","363","363","4.667442321777344","4.667442321777344","4.667442321777344"
"47710208","367","367","367","5.474367618560791","5.474367618560791","5.474367618560791"
"48234496","371","371","371","5.596353054046631","5.596353054046631","5.596353054046631"
"48758784","375","375","375","5.238584995269775","5.238584995269775","5.238584995269775"
"49283072","379","379","379","5.295119285583496","5.295119285583496","5.295119285583496"
"49807360","383","383","383","5.5794219970703125","5.5794219970703125","5.5794219970703125"
"50331648","387","387","387","5.590973854064941","5.590973854064941","5.590973854064941"
"50855936","391","391","391","5.206583023071289","5.206583023071289","5.206583023071289"
"51380224","395","395","395","5.094851970672607","5.094851970672607","5.094851970672607"
"51904512","399","399","399","5.666741847991943","5.666741847991943","5.666741847991943"
"52428800","403","403","403","5.790902137756348","5.790902137756348","5.790902137756348"
"52953088","407","407","407","5.612287998199463","5.612287998199463","5.612287998199463"
"53477376","411","411","411","5.5368499755859375","5.5368499755859375","5.5368499755859375"
"54001664","415","415","415","6.289643287658691","6.289643287658691","6.289643287658691"
"54525952","419","419","419","5.850175857543945","5.850175857543945","5.850175857543945"
"55050240","423","423","423","5.740437030792236","5.740437030792236","5.740437030792236"
"55574528","427","427","427","5.81153678894043","5.81153678894043","5.81153678894043"
"56098816","431","431","431","6.04470682144165","6.04470682144165","6.04470682144165"
"56623104","435","435","435","6.191843509674072","6.191843509674072","6.191843509674072"
"57147392","439","439","439","5.742146968841553","5.742146968841553","5.742146968841553"
"57671680","443","443","443","5.770434379577637","5.770434379577637","5.770434379577637"
"58195968","447","447","447","5.974922180175781","5.974922180175781","5.974922180175781"
"58720256","451","451","451","5.73087739944458","5.73087739944458","5.73087739944458"
"59244544","455","455","455","5.8258538246154785","5.8258538246154785","5.8258538246154785"
"59768832","459","459","459","5.8942766189575195","5.8942766189575195","5.8942766189575195"
"60293120","463","463","463","6.087010860443115","6.087010860443115","6.087010860443115"
"60817408","467","467","467","5.92962121963501","5.92962121963501","5.92962121963501"
"61341696","471","471","471","6.24416971206665","6.24416971206665","6.24416971206665"
"61865984","475","475","475","6.1257853507995605","6.1257853507995605","6.1257853507995605"
"62390272","479","479","479","6.173658847808838","6.173658847808838","6.173658847808838"
"62914560","483","483","483","6.433759689331055","6.433759689331055","6.433759689331055"
"63438848","487","487","487","6.478428363800049","6.478428363800049","6.478428363800049"
"63963136","491","491","491","6.45998477935791","6.45998477935791","6.45998477935791"
"64487424","495","495","495","6.26762056350708","6.26762056350708","6.26762056350708"
"65011712","499","499","499","6.587706089019775","6.587706089019775","6.587706089019775"
"65536000","503","503","503","6.391787528991699","6.391787528991699","6.391787528991699"
"66060288","507","507","507","6.178279399871826","6.178279399871826","6.178279399871826"
